SPILL ID,LAT,LON,SPILL CAUSE,FILE,x,y,start_date,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure,SPILL_TYPE,SPILL_VOL,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,DIAMETER_OF_SEWER
815176,37.94164,-122.54083,Other (specify below),Other,-13641182.796985105,4571184.779413223,2015-04-01 00:00:00,0.24305813,0.290647835,0.279428482,0.0,0.968749225,285.821106,101224.5156,Category 3,50.0,VCP CIP,,
841225,38.53491944,-121.44525,Root intrusion,Other,-13519223.389261805,4655270.040844661,2017-09-15 14:42:00,0.0923718437552452,0.1936306208372116,0.19606837630271912,1.951150352397235e-11,0.8837447166442871,286.7627868652344,100932.5546875,Category 3,4.0, ,,
841185,38.59496111,-121.2946611,Root intrusion,Other,-13502459.909594687,4663818.181299433,2017-09-15 16:00:00,0.05935133248567581,0.14649859070777893,0.15908516943454742,0.0,0.8909887075424194,294.24053955078125,100742.71875,Category 3,2.0, ,,
840026,32.79144,-117.20168,Other (specify below),Other,-13046831.337716196,3867653.718712322,2017-09-15 20:40:00,0.10189572721719742,0.17166586220264435,0.17071636021137238,2.0628476704587229e-10,0.9380276203155518,301.76025390625,100479.6640625,Category 2,212625.0,VC,,10.0
840124,34.51102,-117.31627,Damage by Others Not Related to CS Construction/Maintenance (Specify Below),Other,-13059587.438166196,4097627.673984946,2017-09-16 00:00:00,0.03507017716765404,0.0848466008901596,0.0867382138967514,6.8717180415736575e-31,0.9198755621910096,295.94439697265625,89897.953125,Category 2,8438.0,AC,45.0,8.0
840015,33.82096,-117.9709,Debris-Rags,Other,-13132460.516424198,4004786.589550801,2017-09-16 10:00:00,0.05672188103199005,0.12917880713939667,0.13282909989356995,0.0,0.9398402571678162,288.9508972167969,99941.0,Category 1,840.0,VCP,45.0,8.0
840010,35.120633000000005,-118.46158,Debris-General,Other,-13187082.76416664,4180286.794997442,2017-09-16 11:00:00,0.05579109489917755,0.11462192237377168,0.11842479556798935,0.0,0.9393519759178162,282.6901550292969,85821.0,Category 3,50.0, ,,8.0
840155,32.79148,-117.20197,Other (specify below),Other,-13046863.620368527,3867659.0155585012,2017-09-17 08:13:00,0.10035745054483414,0.17133191227912906,0.17047254741191864,4.507455741986632e-09,0.9383299350738524,290.7654724121094,100497.078125,Category 2,134640.0,VC,,10.0
841192,38.62145556,-121.4902722,Root intrusion,Other,-13524235.2376402,4667592.472847315,2017-09-17 09:00:00,0.11596015095710754,0.2251903116703033,0.2296897917985916,0.0,0.8834617137908936,286.5927734375,100910.171875,Category 3,8.0, ,,
840095,37.932286,-122.323236,Grease Deposition (FOG),Other,-13616960.343705427,4569864.507000176,2017-09-17 09:30:00,0.15895941853523254,0.2275706827640533,0.2287132292985916,0.0,0.9486472606658936,284.3896484375,100302.171875,Category 3,4.0,VCP,40.0,6.0
841218,38.52571944,-121.4332111,Root intrusion,Other,-13517883.225044096,4653960.8662357405,2017-09-17 10:00:00,0.08773139119148254,0.19259753823280326,0.1950828582048416,0.0,0.8832175731658936,286.7080078125,100830.171875,Category 3,2.0, ,,
