SPILL ID,LAT,LON,SPILL CAUSE,FILE,x,y,start_date,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure,SPILL_TYPE,SPILL_VOL,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,DIAMETER_OF_SEWER
831485,37.88103,-122.25456,Root Intrusion,Rain,-13609315.36635571,4562632.947530885,2017-01-06 02:40:00,0.2825641334056854,0.2722877562046051,0.2852066457271576,1.6658766380239776e-16,0.9597522020339966,277.482421875,100940.8125,Category 3,300, ,,
856983,37.439814,-122.149644,Other (specify below),Rain,-13597636.170659645,4500589.7857240215,2019-03-12 14:45:00,0.3666361272335053,0.3956117331981659,0.3722783327102661,0.0,0.9715323448181152,278.83804321289057,99517.109375,Category 3,19, ,,
831752,38.50653,-122.99002,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13691186.399054533,4651230.716947629,2017-01-11 12:48:00,0.4344072341918945,0.4452483654022217,0.4340366423130035,0.0003859996795654297,0.9695713520050048,284.2828674316406,98893.328125,Category 1,8405, ,,
830761,37.95033,-122.35715,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13620735.632916192,4572411.481985178,2016-12-15 00:00:00,0.3668318390846253,0.3451429307460785,0.3466988801956177,2.0347535610198968e-05,0.957355499267578,285.69036865234375,100588.890625,Category 1,67800, ,,
831210,37.83014,-122.20833,Debris-General,Rain,-13604169.06629634,4555458.003191983,2016-12-27 11:00:00,0.2405603975057602,0.2464141547679901,0.2587219178676605,3.1329631136568434e-19,0.9564383625984192,275.5092163085937,101549.3203125,Category 3,750,vcp,,8.0
830859,38.43562,-122.59728,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13647466.78224038,4641148.406125858,2016-12-15 10:00:00,0.3441517353057861,0.3076507747173309,0.2988741099834442,0.0003968477249145509,0.9628764390945436,284.6456298828125,98726.203125,Category 1,9000,AC,53.0,6.0
831564,40.80489,-124.16328,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13821793.104822647,4983605.439315882,2016-12-15 03:35:00,0.45591670274734497,0.4692130088806152,0.4537660479545593,0.0003260374069213866,0.9819822907447816,285.7437438964844,98612.171875,Category 1,215, ,,
832124,38.30461,-122.29027,Root Intrusion,Rain,-13613290.58537194,4622546.81024823,2017-01-12 09:00:00,0.4152290225028992,0.4255459606647492,0.405158668756485,4.605948925018311e-05,0.960268259048462,283.3181457519531,99444.828125,Category 3,22,Clay,48.0,4.0
830759,37.92525,-122.34773,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13619687.00331292,4568871.519916205,2016-12-15 00:00:00,0.3668318390846253,0.3451429307460785,0.3466988801956177,2.0347535610198968e-05,0.957355499267578,285.69036865234375,100588.890625,Category 1,119550, ,,
831751,38.50538,-122.99143,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13691343.35953655,4651067.125502202,2017-01-11 12:20:00,0.4344072341918945,0.4452483654022217,0.4340366423130035,0.0003859996795654297,0.9695713520050048,284.2828674316406,98893.328125,Category 1,1260, ,,
831639,38.32581,-122.31973,Root Intrusion,Rain,-13616570.057570707,4625554.632963205,2017-01-05 12:00:00,0.3401941657066345,0.33901655673980713,0.33004218339920044,3.948343874071725e-10,0.9602611064910888,275.52969360351557,99235.0,Category 3,1,ACP,59.0,4.0
830892,37.791944,-122.273056,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13611374.331657425,4550076.027288741,2016-12-15 00:00:00,0.27674394845962524,0.2427259534597397,0.2548409700393677,8.031725883483888e-06,0.955402374267578,285.85638427734375,100500.890625,Category 1,132000, ,,
831636,37.413822,-122.228375,Other (specify below),Rain,-13606400.465489287,4496946.282304518,2017-01-07 09:00:00,0.3404771387577057,0.3454830050468445,0.3262893259525299,4.829466342926026e-05,0.9609161615371704,280.6278076171875,99661.546875,Category 3,30, ,,
831703,37.89074,-122.19421,Other (specify below),Rain,-13602597.235086335,4564002.516444521,2017-01-11 00:00:00,0.3395433723926544,0.32650506496429443,0.3061994612216949,0.00010392069816589355,0.9595770239830016,283.94891357421875,100690.90625,Category 1,243100, ,,
830876,41.75374,-124.19123,Flow Exceeded Capacity (Separate CS Only),Rain,-13824904.484590322,5124161.97267148,2016-12-14 21:30:00,0.4949530363082886,0.4996212124824524,0.4898784160614014,0.00047528743743896484,0.9818010330200196,285.9768371582031,98642.4921875,Category 1,2700,Clay,50.0,15.0
831651,37.92421,-122.37328,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13622531.216302687,4568724.753308173,2017-01-11 00:05:00,0.4464769661426544,0.4283117055892944,0.43034496903419495,0.00011101365089416504,0.9615301489830016,283.58563232421875,100754.90625,Category 1,36250, ,,
830751,41.760064,-124.215981,Other (specify below),Rain,-13827659.753306946,5125105.68047169,2016-12-14 21:00:00,0.4949530363082886,0.4996212124824524,0.4898784160614014,0.00047528743743896484,0.9818010330200196,285.9768371582031,98642.4921875,Category 1,1000, ,,
831647,37.075116,-121.612265,"Rainfall Exceeded Design, I and I (Separate CS Only)",Rain,-13537815.414016645,4449582.167246767,2017-01-08 00:00:00,0.3473005294799805,0.3267500996589661,0.30747395753860474,0.0002865791320800781,0.9601579904556274,284.2200927734375,98196.578125,Category 1,204000,concrete,30.0,30.0
